Capital,Latitude,Longitude
Muscat,23.61,58.59
Islamabad,33.72,73.04
Melekeok,7.5,134.62
East Jerusalem,35.23,31.77
Panama City,8.99,-79.52
Port Moresby,-9.44,147.18
Asunción,-25.3,-57.64
Lima,-12.04,-77.03
Manila,14.6,120.98
Adamstown,-25.07,-130.1
Warsaw,52.23,21.01
Lisbon,38.72,-9.13
San Juan,18.47,-66.11
Doha,25.28,51.52
Brazzaville,-4.27,15.28
Saint-Denis,-20.88,55.45
Bucharest,44.43,26.11
Moscow,55.75,37.62
Kigali,-1.95,30.06
Gustavia,17.9,-62.85
Jamestown,-15.94,-5.72
Basseterre,17.29,-62.73
Castries,14,-61.01
Marigot,18.07,-63.08
Saint-Pierre,46.78,-56.17
Kingstown,13.16,-61.22
Apia,-13.83,-171.77
San Marino,43.94,12.45
São Tomé,0.34,6.73
Riyadh,24.69,46.72
Dakar,14.69,-17.44
Belgrade,44.8,20.47
Victoria,-4.62,55.45
Freetown,8.48,-13.23
Singapore,1.29,103.85
Bratislava,48.15,17.11
Ljubljana,46.05,14.51
Honiara,-9.43,159.95
Mogadishu,2.04,45.34
Pretoria,-25.74,28.19
Grytviken,-54.28,-36.51
Seoul,37.57,126.98
Madrid,40.42,-3.7
Colombo,6.93,79.85
Khartoum,15.55,32.53
Paramaribo,5.87,-55.17
Longyearbyen,78.22,15.64
Mbabane,-26.32,31.13
Stockholm,59.33,18.06
Berne,46.95,7.45
Damascus,33.51,36.29
Taipei,25.05,121.53
Dushanbe,38.54,68.78
Dodoma,-6.17,35.74
Bangkok,13.75,100.5
Lomé,6.14,1.21
Nukunonu,-171.85,-9.2
Nuku'alofa,-21.13,-175.2
Port of Spain,10.67,-61.52
Tunis,36.82,10.17
Ankara,39.92,32.85
Ashkhabad,37.95,58.38
Cockburn Town,21.46,-71.14
Funafuti,-8.52,179.19
Charlotte Amalie,18.34,-64.93
Kampala,0.32,32.58
Kiev,50.45,30.52
Abu Dhabi,24.47,54.37
London,51.51,-0.13
Washington,38.9,-77.04
Montevideo,-34.83,-56.17
Tashkent,41.26,69.22
Port Vila,-17.73,168.32
Vatican,41.9,12.45
Caracas,10.49,-66.88
Hanoi,21.02,105.84
Mata-Utu,-13.28,-176.17
El Aaiún,27.16,-13.2
Sanaa,15.35,44.21
Lusaka,-15.41,28.29
Harare,-17.83,31.05
